水库名称	工程规模	所在市（区）	编织袋（条）	土工布（m2）	砂石料（m3）	块石（m3）	铅丝（Kg）	桩木（m3）	救生衣（件）	抢险舟（艘）	发电机组（KW）	便携灯（只）	投光灯（只）	电缆（m）
三浓水库	小⑴	吉阳区	4500	0	486.9	87.75	0	0	30	0	0	17	0	0							
颂和水库	小⑴	吉阳区	1000	330	441.08	90	10	0	0	0	1	3	0	0		
草蓬水库	小⑴	吉阳区	1900	0	443.18	48.72	9	0	20	0	0	0	0	0
双本水库	小⑵	吉阳区	900	0	177.8	30	0	0	0	0	0	0	0	0
渣平水库	小⑵	吉阳区	800	0	256	30	4	0	8	0	0	0	0	0
红旗水库	小⑵	吉阳区	800	0	153.26	0	0	0	0	0	0	0	0	0
黄猄水库	小⑵	吉阳区	800	0	227.15	0	0	0	0	0	0	0	0	0
大安水库	小⑵	吉阳区	1200	0	129.28	0	1	0	0	0	0	0	0	0
深南水库	小⑵	吉阳区	1100	0	135.98	0	4	0	2	0	0	0	0	0
南丁水库	小⑵	吉阳区	800	0	201.51	30	0	0	0	0	0	0	0	0
高园水库	小⑵	吉阳区	2300	0	220	0	0	0	0	0	0	0	0	0
三郎水库	小⑵	吉阳区	800	0	165.98	0	4	0	2	0	0	0	0	0
博后水库	小⑵	吉阳区	800	0	132	0	0	0	0	0	0	0	0	0
五一水库	小⑵	吉阳区	800	0	206.3	30	4	0	2	0	0	0	0	0
尖岭水库	小⑵	吉阳区	1600	0	201.86	25	4	0	0	0	0	0	0	0
